method1,method2,sample,unifrac
closed_reference,deblur,EMPWater,0.08877103984693516
deblur,closed_reference,EMPWater,0.08877103984693516
closed_reference,closed_reference,EMPWater,
deblur,deblur,EMPWater,
deblur,input,EMPWater,0.4917189060315834
input,deblur,EMPWater,0.4917189060315834
deblur,deblur,EMPWater,
input,input,EMPWater,
de_novo,input,EMPWater,0.5042650643026966
input,de_novo,EMPWater,0.5042650643026966
de_novo,de_novo,EMPWater,
input,input,EMPWater,
closed_reference,open_reference,EMPWater,0.0005152570396424837
open_reference,closed_reference,EMPWater,0.0005152570396424837
closed_reference,closed_reference,EMPWater,
open_reference,open_reference,EMPWater,
open_reference,dada2,EMPWater,0.09396982416591744
dada2,open_reference,EMPWater,0.09396982416591744
open_reference,open_reference,EMPWater,
dada2,dada2,EMPWater,
closed_reference,input,EMPWater,0.4183742097520908
input,closed_reference,EMPWater,0.4183742097520908
closed_reference,closed_reference,EMPWater,
input,input,EMPWater,
de_novo,closed_reference,EMPWater,0.10023923018969888
closed_reference,de_novo,EMPWater,0.10023923018969888
de_novo,de_novo,EMPWater,
closed_reference,closed_reference,EMPWater,
open_reference,input,EMPWater,0.4216804471990843
input,open_reference,EMPWater,0.4216804471990843
open_reference,open_reference,EMPWater,
input,input,EMPWater,
open_reference,deblur,EMPWater,0.08899559416621679
deblur,open_reference,EMPWater,0.08899559416621679
open_reference,open_reference,EMPWater,
deblur,deblur,EMPWater,
de_novo,deblur,EMPWater,0.02130649452443047
deblur,de_novo,EMPWater,0.02130649452443047
de_novo,de_novo,EMPWater,
deblur,deblur,EMPWater,
dada2,deblur,EMPWater,0.011756011612771258
deblur,dada2,EMPWater,0.011756011612771258
dada2,dada2,EMPWater,
deblur,deblur,EMPWater,
de_novo,dada2,EMPWater,0.011998271819462393
dada2,de_novo,EMPWater,0.011998271819462393
de_novo,de_novo,EMPWater,
dada2,dada2,EMPWater,
dada2,input,EMPWater,0.4941206225869762
input,dada2,EMPWater,0.4941206225869762
dada2,dada2,EMPWater,
input,input,EMPWater,
closed_reference,dada2,EMPWater,0.09022708827064428
dada2,closed_reference,EMPWater,0.09022708827064428
closed_reference,closed_reference,EMPWater,
dada2,dada2,EMPWater,
de_novo,open_reference,EMPWater,0.09980601299274018
open_reference,de_novo,EMPWater,0.09980601299274018
de_novo,de_novo,EMPWater,
open_reference,open_reference,EMPWater,
