method1,method2,sample,unifrac
closed_reference,deblur,HMPMockStaggered1,0.047979434417909556
deblur,closed_reference,HMPMockStaggered1,0.047979434417909556
closed_reference,closed_reference,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
closed_reference,deblur,HMPMockStaggered2,0.048376737071743746
deblur,closed_reference,HMPMockStaggered2,0.048376737071743746
closed_reference,closed_reference,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
closed_reference,deblur,HMPMockEven1,0.03839647424123604
deblur,closed_reference,HMPMockEven1,0.03839647424123604
closed_reference,closed_reference,HMPMockEven1,
deblur,deblur,HMPMockEven1,
closed_reference,deblur,HMPMockEven2,0.03742652620906296
deblur,closed_reference,HMPMockEven2,0.03742652620906296
closed_reference,closed_reference,HMPMockEven2,
deblur,deblur,HMPMockEven2,
deblur,input,HMPMockStaggered2,0.43978818041289286
input,deblur,HMPMockStaggered2,0.43978818041289286
deblur,deblur,HMPMockStaggered2,
input,input,HMPMockStaggered2,
deblur,input,HMPMockEven1,0.30566295932300647
input,deblur,HMPMockEven1,0.30566295932300647
deblur,deblur,HMPMockEven1,
input,input,HMPMockEven1,
deblur,input,HMPMockStaggered1,0.4470564099642247
input,deblur,HMPMockStaggered1,0.4470564099642247
deblur,deblur,HMPMockStaggered1,
input,input,HMPMockStaggered1,
deblur,input,HMPMockEven2,0.3052985698121809
input,deblur,HMPMockEven2,0.3052985698121809
deblur,deblur,HMPMockEven2,
input,input,HMPMockEven2,
de_novo,input,HMPMockStaggered2,0.44392452789829884
input,de_novo,HMPMockStaggered2,0.44392452789829884
de_novo,de_novo,HMPMockStaggered2,
input,input,HMPMockStaggered2,
de_novo,input,HMPMockStaggered1,0.45400530531627076
input,de_novo,HMPMockStaggered1,0.45400530531627076
de_novo,de_novo,HMPMockStaggered1,
input,input,HMPMockStaggered1,
de_novo,input,HMPMockEven2,0.2837516920852863
input,de_novo,HMPMockEven2,0.2837516920852863
de_novo,de_novo,HMPMockEven2,
input,input,HMPMockEven2,
de_novo,input,HMPMockEven1,0.28223939697412953
input,de_novo,HMPMockEven1,0.28223939697412953
de_novo,de_novo,HMPMockEven1,
input,input,HMPMockEven1,
closed_reference,open_reference,HMPMockStaggered1,0.001992296003588313
open_reference,closed_reference,HMPMockStaggered1,0.001992296003588313
closed_reference,closed_reference,HMPMockStaggered1,
open_reference,open_reference,HMPMockStaggered1,
closed_reference,open_reference,HMPMockStaggered2,0.0020093653109189732
open_reference,closed_reference,HMPMockStaggered2,0.0020093653109189732
closed_reference,closed_reference,HMPMockStaggered2,
open_reference,open_reference,HMPMockStaggered2,
closed_reference,open_reference,HMPMockEven1,0.0027514863022989893
open_reference,closed_reference,HMPMockEven1,0.0027514863022989893
closed_reference,closed_reference,HMPMockEven1,
open_reference,open_reference,HMPMockEven1,
closed_reference,open_reference,HMPMockEven2,0.002875243981014539
open_reference,closed_reference,HMPMockEven2,0.002875243981014539
closed_reference,closed_reference,HMPMockEven2,
open_reference,open_reference,HMPMockEven2,
open_reference,dada2,HMPMockStaggered1,0.001951650022061917
dada2,open_reference,HMPMockStaggered1,0.001951650022061917
open_reference,open_reference,HMPMockStaggered1,
dada2,dada2,HMPMockStaggered1,
open_reference,dada2,HMPMockStaggered2,0.002070123091757781
dada2,open_reference,HMPMockStaggered2,0.002070123091757781
open_reference,open_reference,HMPMockStaggered2,
dada2,dada2,HMPMockStaggered2,
open_reference,dada2,HMPMockEven1,0.0013830449755408106
dada2,open_reference,HMPMockEven1,0.0013830449755408106
open_reference,open_reference,HMPMockEven1,
dada2,dada2,HMPMockEven1,
open_reference,dada2,HMPMockEven2,0.001656308007979253
dada2,open_reference,HMPMockEven2,0.001656308007979253
open_reference,open_reference,HMPMockEven2,
dada2,dada2,HMPMockEven2,
closed_reference,input,HMPMockStaggered1,0.3611746509931478
input,closed_reference,HMPMockStaggered1,0.3611746509931478
closed_reference,closed_reference,HMPMockStaggered1,
input,input,HMPMockStaggered1,
closed_reference,input,HMPMockStaggered2,0.35438105076226256
input,closed_reference,HMPMockStaggered2,0.35438105076226256
closed_reference,closed_reference,HMPMockStaggered2,
input,input,HMPMockStaggered2,
closed_reference,input,HMPMockEven1,0.2321691486391521
input,closed_reference,HMPMockEven1,0.2321691486391521
closed_reference,closed_reference,HMPMockEven1,
input,input,HMPMockEven1,
closed_reference,input,HMPMockEven2,0.23223646142827792
input,closed_reference,HMPMockEven2,0.23223646142827792
closed_reference,closed_reference,HMPMockEven2,
input,input,HMPMockEven2,
de_novo,closed_reference,HMPMockStaggered2,0.003237380503300049
closed_reference,de_novo,HMPMockStaggered2,0.003237380503300049
de_novo,de_novo,HMPMockStaggered2,
closed_reference,closed_reference,HMPMockStaggered2,
de_novo,closed_reference,HMPMockStaggered1,0.003307849765619483
closed_reference,de_novo,HMPMockStaggered1,0.003307849765619483
de_novo,de_novo,HMPMockStaggered1,
closed_reference,closed_reference,HMPMockStaggered1,
de_novo,closed_reference,HMPMockEven2,0.0039235811656710955
closed_reference,de_novo,HMPMockEven2,0.0039235811656710955
de_novo,de_novo,HMPMockEven2,
closed_reference,closed_reference,HMPMockEven2,
de_novo,closed_reference,HMPMockEven1,0.003679666582031646
closed_reference,de_novo,HMPMockEven1,0.003679666582031646
de_novo,de_novo,HMPMockEven1,
closed_reference,closed_reference,HMPMockEven1,
open_reference,input,HMPMockStaggered1,0.41915565807673244
input,open_reference,HMPMockStaggered1,0.41915565807673244
open_reference,open_reference,HMPMockStaggered1,
input,input,HMPMockStaggered1,
open_reference,input,HMPMockStaggered2,0.4108918147103139
input,open_reference,HMPMockStaggered2,0.4108918147103139
open_reference,open_reference,HMPMockStaggered2,
input,input,HMPMockStaggered2,
open_reference,input,HMPMockEven1,0.2925282621703956
input,open_reference,HMPMockEven1,0.2925282621703956
open_reference,open_reference,HMPMockEven1,
input,input,HMPMockEven1,
open_reference,input,HMPMockEven2,0.29397339547648965
input,open_reference,HMPMockEven2,0.29397339547648965
open_reference,open_reference,HMPMockEven2,
input,input,HMPMockEven2,
open_reference,deblur,HMPMockStaggered1,0.05294797943933827
deblur,open_reference,HMPMockStaggered1,0.05294797943933827
open_reference,open_reference,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
open_reference,deblur,HMPMockStaggered2,0.053437604268853675
deblur,open_reference,HMPMockStaggered2,0.053437604268853675
open_reference,open_reference,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
open_reference,deblur,HMPMockEven1,0.04185458983997816
deblur,open_reference,HMPMockEven1,0.04185458983997816
open_reference,open_reference,HMPMockEven1,
deblur,deblur,HMPMockEven1,
open_reference,deblur,HMPMockEven2,0.0407992971614154
deblur,open_reference,HMPMockEven2,0.0407992971614154
open_reference,open_reference,HMPMockEven2,
deblur,deblur,HMPMockEven2,
de_novo,deblur,HMPMockStaggered2,0.0743613511590388
deblur,de_novo,HMPMockStaggered2,0.0743613511590388
de_novo,de_novo,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
de_novo,deblur,HMPMockStaggered1,0.07549750987197774
deblur,de_novo,HMPMockStaggered1,0.07549750987197774
de_novo,de_novo,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
de_novo,deblur,HMPMockEven2,0.053346284404566804
deblur,de_novo,HMPMockEven2,0.053346284404566804
de_novo,de_novo,HMPMockEven2,
deblur,deblur,HMPMockEven2,
de_novo,deblur,HMPMockEven1,0.05453207568800812
deblur,de_novo,HMPMockEven1,0.05453207568800812
de_novo,de_novo,HMPMockEven1,
deblur,deblur,HMPMockEven1,
dada2,deblur,HMPMockStaggered1,0.04759242891174974
deblur,dada2,HMPMockStaggered1,0.04759242891174974
dada2,dada2,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
dada2,deblur,HMPMockStaggered2,0.04824757518503274
deblur,dada2,HMPMockStaggered2,0.04824757518503274
dada2,dada2,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
dada2,deblur,HMPMockEven1,0.037755481552115895
deblur,dada2,HMPMockEven1,0.037755481552115895
dada2,dada2,HMPMockEven1,
deblur,deblur,HMPMockEven1,
dada2,deblur,HMPMockEven2,0.0359548398763017
deblur,dada2,HMPMockEven2,0.0359548398763017
dada2,dada2,HMPMockEven2,
deblur,deblur,HMPMockEven2,
de_novo,dada2,HMPMockStaggered2,0.0029625851456302316
dada2,de_novo,HMPMockStaggered2,0.0029625851456302316
de_novo,de_novo,HMPMockStaggered2,
dada2,dada2,HMPMockStaggered2,
de_novo,dada2,HMPMockStaggered1,0.002706994502204822
dada2,de_novo,HMPMockStaggered1,0.002706994502204822
de_novo,de_novo,HMPMockStaggered1,
dada2,dada2,HMPMockStaggered1,
de_novo,dada2,HMPMockEven2,0.001890741347136621
dada2,de_novo,HMPMockEven2,0.001890741347136621
de_novo,de_novo,HMPMockEven2,
dada2,dada2,HMPMockEven2,
de_novo,dada2,HMPMockEven1,0.0018401410043747243
dada2,de_novo,HMPMockEven1,0.0018401410043747243
de_novo,de_novo,HMPMockEven1,
dada2,dada2,HMPMockEven1,
dada2,input,HMPMockStaggered1,0.415507921554071
input,dada2,HMPMockStaggered1,0.415507921554071
dada2,dada2,HMPMockStaggered1,
input,input,HMPMockStaggered1,
dada2,input,HMPMockStaggered2,0.4074187322992811
input,dada2,HMPMockStaggered2,0.4074187322992811
dada2,dada2,HMPMockStaggered2,
input,input,HMPMockStaggered2,
dada2,input,HMPMockEven1,0.2756553997105012
input,dada2,HMPMockEven1,0.2756553997105012
dada2,dada2,HMPMockEven1,
input,input,HMPMockEven1,
dada2,input,HMPMockEven2,0.27734678409077584
input,dada2,HMPMockEven2,0.27734678409077584
dada2,dada2,HMPMockEven2,
input,input,HMPMockEven2,
closed_reference,dada2,HMPMockStaggered1,0.0021208353556096795
dada2,closed_reference,HMPMockStaggered1,0.0021208353556096795
closed_reference,closed_reference,HMPMockStaggered1,
dada2,dada2,HMPMockStaggered1,
closed_reference,dada2,HMPMockStaggered2,0.002430136800101643
dada2,closed_reference,HMPMockStaggered2,0.002430136800101643
closed_reference,closed_reference,HMPMockStaggered2,
dada2,dada2,HMPMockStaggered2,
closed_reference,dada2,HMPMockEven1,0.0030521612949784404
dada2,closed_reference,HMPMockEven1,0.0030521612949784404
closed_reference,closed_reference,HMPMockEven1,
dada2,dada2,HMPMockEven1,
closed_reference,dada2,HMPMockEven2,0.0029537701391540226
dada2,closed_reference,HMPMockEven2,0.0029537701391540226
closed_reference,closed_reference,HMPMockEven2,
dada2,dada2,HMPMockEven2,
de_novo,open_reference,HMPMockStaggered2,0.0010531468119476845
open_reference,de_novo,HMPMockStaggered2,0.0010531468119476845
de_novo,de_novo,HMPMockStaggered2,
open_reference,open_reference,HMPMockStaggered2,
de_novo,open_reference,HMPMockStaggered1,0.0009440302646876185
open_reference,de_novo,HMPMockStaggered1,0.0009440302646876185
de_novo,de_novo,HMPMockStaggered1,
open_reference,open_reference,HMPMockStaggered1,
de_novo,open_reference,HMPMockEven2,0.000855373980043305
open_reference,de_novo,HMPMockEven2,0.000855373980043305
de_novo,de_novo,HMPMockEven2,
open_reference,open_reference,HMPMockEven2,
de_novo,open_reference,HMPMockEven1,0.0008045133204069225
open_reference,de_novo,HMPMockEven1,0.0008045133204069225
de_novo,de_novo,HMPMockEven1,
open_reference,open_reference,HMPMockEven1,
