method1,method2,sample,unifrac
closed_reference,deblur,sample1,0.5227718080010227
deblur,closed_reference,sample1,0.5227718080010227
closed_reference,closed_reference,sample1,
deblur,deblur,sample1,
deblur,input,sample1,0.6868970578226242
input,deblur,sample1,0.6868970578226242
deblur,deblur,sample1,
input,input,sample1,
de_novo,input,sample1,0.7064288349661619
input,de_novo,sample1,0.7064288349661619
de_novo,de_novo,sample1,
input,input,sample1,
closed_reference,open_reference,sample1,0.2616160489982713
open_reference,closed_reference,sample1,0.2616160489982713
closed_reference,closed_reference,sample1,
open_reference,open_reference,sample1,
open_reference,dada2,sample1,0.31612902895557526
dada2,open_reference,sample1,0.31612902895557526
open_reference,open_reference,sample1,
dada2,dada2,sample1,
closed_reference,input,sample1,0.6869410983057186
input,closed_reference,sample1,0.6869410983057186
closed_reference,closed_reference,sample1,
input,input,sample1,
de_novo,closed_reference,sample1,0.40993881159310586
closed_reference,de_novo,sample1,0.40993881159310586
de_novo,de_novo,sample1,
closed_reference,closed_reference,sample1,
open_reference,input,sample1,0.6878637827706207
input,open_reference,sample1,0.6878637827706207
open_reference,open_reference,sample1,
input,input,sample1,
open_reference,deblur,sample1,0.41586109342894206
deblur,open_reference,sample1,0.41586109342894206
open_reference,open_reference,sample1,
deblur,deblur,sample1,
de_novo,deblur,sample1,0.4608358059373413
deblur,de_novo,sample1,0.4608358059373413
de_novo,de_novo,sample1,
deblur,deblur,sample1,
dada2,deblur,sample1,0.41260021526012886
deblur,dada2,sample1,0.41260021526012886
dada2,dada2,sample1,
deblur,deblur,sample1,
de_novo,dada2,sample1,0.32410332502126676
dada2,de_novo,sample1,0.32410332502126676
de_novo,de_novo,sample1,
dada2,dada2,sample1,
dada2,input,sample1,0.6929998681055143
input,dada2,sample1,0.6929998681055143
dada2,dada2,sample1,
input,input,sample1,
closed_reference,dada2,sample1,0.32024552657372074
dada2,closed_reference,sample1,0.32024552657372074
closed_reference,closed_reference,sample1,
dada2,dada2,sample1,
de_novo,open_reference,sample1,0.23514932959293494
open_reference,de_novo,sample1,0.23514932959293494
de_novo,de_novo,sample1,
open_reference,open_reference,sample1,
