method1,method2,sample,unifrac
closed_reference,deblur,sample1,0.218837381118639
deblur,closed_reference,sample1,0.218837381118639
closed_reference,closed_reference,sample1,
deblur,deblur,sample1,
deblur,input,sample1,0.6442480533371968
input,deblur,sample1,0.6442480533371968
deblur,deblur,sample1,
input,input,sample1,
de_novo,input,sample1,0.6412919286278125
input,de_novo,sample1,0.6412919286278125
de_novo,de_novo,sample1,
input,input,sample1,
closed_reference,open_reference,sample1,0.05120442654691802
open_reference,closed_reference,sample1,0.05120442654691802
closed_reference,closed_reference,sample1,
open_reference,open_reference,sample1,
open_reference,dada2,sample1,0.09219717844650077
dada2,open_reference,sample1,0.09219717844650077
open_reference,open_reference,sample1,
dada2,dada2,sample1,
closed_reference,input,sample1,0.6638162492153448
input,closed_reference,sample1,0.6638162492153448
closed_reference,closed_reference,sample1,
input,input,sample1,
de_novo,closed_reference,sample1,0.11004091899423117
closed_reference,de_novo,sample1,0.11004091899423117
de_novo,de_novo,sample1,
closed_reference,closed_reference,sample1,
open_reference,input,sample1,0.666373499983736
input,open_reference,sample1,0.666373499983736
open_reference,open_reference,sample1,
input,input,sample1,
open_reference,deblur,sample1,0.20913318914803164
deblur,open_reference,sample1,0.20913318914803164
open_reference,open_reference,sample1,
deblur,deblur,sample1,
de_novo,deblur,sample1,0.20308523728598515
deblur,de_novo,sample1,0.20308523728598515
de_novo,de_novo,sample1,
deblur,deblur,sample1,
dada2,deblur,sample1,0.09739293126661348
deblur,dada2,sample1,0.09739293126661348
dada2,dada2,sample1,
deblur,deblur,sample1,
de_novo,dada2,sample1,0.09568921716540983
dada2,de_novo,sample1,0.09568921716540983
de_novo,de_novo,sample1,
dada2,dada2,sample1,
dada2,input,sample1,0.6645743077559466
input,dada2,sample1,0.6645743077559466
dada2,dada2,sample1,
input,input,sample1,
closed_reference,dada2,sample1,0.12124054539686624
dada2,closed_reference,sample1,0.12124054539686624
closed_reference,closed_reference,sample1,
dada2,dada2,sample1,
de_novo,open_reference,sample1,0.0920902009932958
open_reference,de_novo,sample1,0.0920902009932958
de_novo,de_novo,sample1,
open_reference,open_reference,sample1,
