method1,method2,sample,unifrac
open_reference,open_reference,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
open_reference,deblur,HMPMockEven1,0.3629231921588922
deblur,open_reference,HMPMockEven1,0.3629231921588922
open_reference,open_reference,HMPMockEven1,
deblur,deblur,HMPMockEven1,
open_reference,deblur,HMPMockEven2,0.389781326728166
deblur,open_reference,HMPMockEven2,0.389781326728166
open_reference,open_reference,HMPMockEven2,
deblur,deblur,HMPMockEven2,
de_novo,deblur,HMPMockStaggered2,0.5645949376598197
deblur,de_novo,HMPMockStaggered2,0.5645949376598197
de_novo,de_novo,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
de_novo,deblur,HMPMockStaggered1,0.5102415755976685
deblur,de_novo,HMPMockStaggered1,0.5102415755976685
de_novo,de_novo,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
de_novo,deblur,HMPMockEven2,0.5052073357049177
deblur,de_novo,HMPMockEven2,0.5052073357049177
de_novo,de_novo,HMPMockEven2,
deblur,deblur,HMPMockEven2,
de_novo,deblur,HMPMockEven1,0.44937660533094553
deblur,de_novo,HMPMockEven1,0.44937660533094553
de_novo,de_novo,HMPMockEven1,
deblur,deblur,HMPMockEven1,
dada2,deblur,HMPMockStaggered1,0.1475652151238036
deblur,dada2,HMPMockStaggered1,0.1475652151238036
dada2,dada2,HMPMockStaggered1,
deblur,deblur,HMPMockStaggered1,
dada2,deblur,HMPMockStaggered2,0.16142315155013057
deblur,dada2,HMPMockStaggered2,0.16142315155013057
dada2,dada2,HMPMockStaggered2,
deblur,deblur,HMPMockStaggered2,
dada2,deblur,HMPMockEven1,0.10304421741129391
deblur,dada2,HMPMockEven1,0.10304421741129391
dada2,dada2,HMPMockEven1,
deblur,deblur,HMPMockEven1,
dada2,deblur,HMPMockEven2,0.13490975232457214
deblur,dada2,HMPMockEven2,0.13490975232457214
dada2,dada2,HMPMockEven2,
deblur,deblur,HMPMockEven2,
de_novo,dada2,HMPMockStaggered2,0.5338082828270214
dada2,de_novo,HMPMockStaggered2,0.5338082828270214
de_novo,de_novo,HMPMockStaggered2,
dada2,dada2,HMPMockStaggered2,
de_novo,dada2,HMPMockStaggered1,0.4699709254359719
dada2,de_novo,HMPMockStaggered1,0.4699709254359719
de_novo,de_novo,HMPMockStaggered1,
dada2,dada2,HMPMockStaggered1,
de_novo,dada2,HMPMockEven2,0.5097244235842873
dada2,de_novo,HMPMockEven2,0.5097244235842873
de_novo,de_novo,HMPMockEven2,
dada2,dada2,HMPMockEven2,
de_novo,dada2,HMPMockEven1,0.470487355077021
dada2,de_novo,HMPMockEven1,0.470487355077021
de_novo,de_novo,HMPMockEven1,
dada2,dada2,HMPMockEven1,
dada2,input,HMPMockStaggered1,0.2285110086135959
input,dada2,HMPMockStaggered1,0.2285110086135959
dada2,dada2,HMPMockStaggered1,
input,input,HMPMockStaggered1,
dada2,input,HMPMockStaggered2,0.25413108729940803
input,dada2,HMPMockStaggered2,0.25413108729940803
dada2,dada2,HMPMockStaggered2,
input,input,HMPMockStaggered2,
dada2,input,HMPMockEven1,0.18183102035425597
input,dada2,HMPMockEven1,0.18183102035425597
dada2,dada2,HMPMockEven1,
input,input,HMPMockEven1,
dada2,input,HMPMockEven2,0.18045078577556392
input,dada2,HMPMockEven2,0.18045078577556392
dada2,dada2,HMPMockEven2,
input,input,HMPMockEven2,
closed_reference,dada2,HMPMockStaggered1,0.23345251395938635
dada2,closed_reference,HMPMockStaggered1,0.23345251395938635
closed_reference,closed_reference,HMPMockStaggered1,
dada2,dada2,HMPMockStaggered1,
closed_reference,dada2,HMPMockStaggered2,0.2431376151986432
dada2,closed_reference,HMPMockStaggered2,0.2431376151986432
closed_reference,closed_reference,HMPMockStaggered2,
dada2,dada2,HMPMockStaggered2,
closed_reference,dada2,HMPMockEven1,0.23104690444522422
dada2,closed_reference,HMPMockEven1,0.23104690444522422
closed_reference,closed_reference,HMPMockEven1,
dada2,dada2,HMPMockEven1,
closed_reference,dada2,HMPMockEven2,0.20452321314672467
dada2,closed_reference,HMPMockEven2,0.20452321314672467
closed_reference,closed_reference,HMPMockEven2,
dada2,dada2,HMPMockEven2,
de_novo,open_reference,HMPMockStaggered2,0.48371415606100543
open_reference,de_novo,HMPMockStaggered2,0.48371415606100543
de_novo,de_novo,HMPMockStaggered2,
open_reference,open_reference,HMPMockStaggered2,
de_novo,open_reference,HMPMockStaggered1,0.42508777914784796
open_reference,de_novo,HMPMockStaggered1,0.42508777914784796
de_novo,de_novo,HMPMockStaggered1,
open_reference,open_reference,HMPMockStaggered1,
de_novo,open_reference,HMPMockEven2,0.4363026173104228
open_reference,de_novo,HMPMockEven2,0.4363026173104228
de_novo,de_novo,HMPMockEven2,
open_reference,open_reference,HMPMockEven2,
de_novo,open_reference,HMPMockEven1,0.40900552653974565
open_reference,de_novo,HMPMockEven1,0.40900552653974565
de_novo,de_novo,HMPMockEven1,
open_reference,open_reference,HMPMockEven1,
