method1,method2,sample,unifrac
closed_reference,deblur,sample072,0.2600700288723452
deblur,closed_reference,sample072,0.2600700288723452
closed_reference,closed_reference,sample072,
deblur,deblur,sample072,
closed_reference,deblur,sample073,0.145758258590934
deblur,closed_reference,sample073,0.145758258590934
closed_reference,closed_reference,sample073,
deblur,deblur,sample073,
closed_reference,open_reference,sample080,0.3546468339732083
open_reference,closed_reference,sample080,0.3546468339732083
closed_reference,closed_reference,sample080,
open_reference,open_reference,sample080,
closed_reference,open_reference,sample105,0.19667669590033052
open_reference,closed_reference,sample105,0.19667669590033052
closed_reference,closed_reference,sample105,
open_reference,open_reference,sample105,
closed_reference,open_reference,sample103,0.1913668024777482
open_reference,closed_reference,sample103,0.1913668024777482
closed_reference,closed_reference,sample103,
open_reference,open_reference,sample103,
closed_reference,open_reference,sample074,0.29602499595594695
open_reference,closed_reference,sample074,0.29602499595594695
closed_reference,closed_reference,sample074,
open_reference,open_reference,sample074,
closed_reference,open_reference,sample075,0.24063060822324342
open_reference,closed_reference,sample075,0.24063060822324342
closed_reference,closed_reference,sample075,
open_reference,open_reference,sample075,
closed_reference,open_reference,sample076,0.30132976809210255
open_reference,closed_reference,sample076,0.30132976809210255
closed_reference,closed_reference,sample076,
open_reference,open_reference,sample076,
closed_reference,open_reference,sample077,0.2749852493765484
open_reference,closed_reference,sample077,0.2749852493765484
closed_reference,closed_reference,sample077,
open_reference,open_reference,sample077,
closed_reference,open_reference,sample078,0.22297754376520246
open_reference,closed_reference,sample078,0.22297754376520246
closed_reference,closed_reference,sample078,
open_reference,open_reference,sample078,
closed_reference,open_reference,sample079,0.2015980576726203
open_reference,closed_reference,sample079,0.2015980576726203
closed_reference,closed_reference,sample079,
open_reference,open_reference,sample079,
closed_reference,open_reference,sample081,0.35085287158591066
open_reference,closed_reference,sample081,0.35085287158591066
closed_reference,closed_reference,sample081,
open_reference,open_reference,sample081,
closed_reference,open_reference,sample082,0.3880605602277225
open_reference,closed_reference,sample082,0.3880605602277225
closed_reference,closed_reference,sample082,
open_reference,open_reference,sample082,
closed_reference,open_reference,sample083,0.2922557223015197
open_reference,closed_reference,sample083,0.2922557223015197
closed_reference,closed_reference,sample083,
open_reference,open_reference,sample083,
closed_reference,open_reference,sample084,0.2742409009594837
open_reference,closed_reference,sample084,0.2742409009594837
closed_reference,closed_reference,sample084,
open_reference,open_reference,sample084,
closed_reference,open_reference,sample085,0.28959645016119656
open_reference,closed_reference,sample085,0.28959645016119656
closed_reference,closed_reference,sample085,
open_reference,open_reference,sample085,
closed_reference,open_reference,sample086,0.35527264308671197
open_reference,closed_reference,sample086,0.35527264308671197
closed_reference,closed_reference,sample086,
open_reference,open_reference,sample086,
closed_reference,open_reference,sample087,0.1807843320444287
open_reference,closed_reference,sample087,0.1807843320444287
closed_reference,closed_reference,sample087,
open_reference,open_reference,sample087,
closed_reference,open_reference,sample088,0.17689735375090535
open_reference,closed_reference,sample088,0.17689735375090535
closed_reference,closed_reference,sample088,
open_reference,open_reference,sample088,
closed_reference,open_reference,sample089,0.276105050395852
open_reference,closed_reference,sample089,0.276105050395852
closed_reference,closed_reference,sample089,
open_reference,open_reference,sample089,
closed_reference,open_reference,sample090,0.36974794779935943
open_reference,closed_reference,sample090,0.36974794779935943
closed_reference,closed_reference,sample090,
open_reference,open_reference,sample090,
closed_reference,open_reference,sample091,0.2460041100288227
open_reference,closed_reference,sample091,0.2460041100288227
closed_reference,closed_reference,sample091,
open_reference,open_reference,sample091,
closed_reference,open_reference,sample092,0.06849905747540028
open_reference,closed_reference,sample092,0.06849905747540028
closed_reference,closed_reference,sample092,
open_reference,open_reference,sample092,
closed_reference,open_reference,sample093,0.3067017647295417
open_reference,closed_reference,sample093,0.3067017647295417
closed_reference,closed_reference,sample093,
open_reference,open_reference,sample093,
closed_reference,open_reference,sample094,0.3001919792123419
open_reference,closed_reference,sample094,0.3001919792123419
closed_reference,closed_reference,sample094,
open_reference,open_reference,sample094,
closed_reference,open_reference,sample095,0.3118489253104749
open_reference,closed_reference,sample095,0.3118489253104749
closed_reference,closed_reference,sample095,
open_reference,open_reference,sample095,
closed_reference,open_reference,sample096,0.3643687499472709
open_reference,closed_reference,sample096,0.3643687499472709
closed_reference,closed_reference,sample096,
open_reference,open_reference,sample096,
closed_reference,open_reference,sample097,0.2530239731812662
open_reference,closed_reference,sample097,0.2530239731812662
closed_reference,closed_reference,sample097,
open_reference,open_reference,sample097,
closed_reference,open_reference,sample098,0.25313536240503
open_reference,closed_reference,sample098,0.25313536240503
closed_reference,closed_reference,sample098,
open_reference,open_reference,sample098,
closed_reference,open_reference,sample099,0.1865741013506075
open_reference,closed_reference,sample099,0.1865741013506075
closed_reference,closed_reference,sample099,
open_reference,open_reference,sample099,
closed_reference,open_reference,sample100,0.33822284602322705
open_reference,closed_reference,sample100,0.33822284602322705
closed_reference,closed_reference,sample100,
open_reference,open_reference,sample100,
closed_reference,open_reference,sample101,0.3061979468710357
open_reference,closed_reference,sample101,0.3061979468710357
closed_reference,closed_reference,sample101,
open_reference,open_reference,sample101,
closed_reference,open_reference,sample102,0.2974950550079325
open_reference,closed_reference,sample102,0.2974950550079325
closed_reference,closed_reference,sample102,
open_reference,open_reference,sample102,
closed_reference,open_reference,sample104,0.2694005100471978
open_reference,closed_reference,sample104,0.2694005100471978
closed_reference,closed_reference,sample104,
open_reference,open_reference,sample104,
closed_reference,open_reference,sample106,0.27734278297498205
open_reference,closed_reference,sample106,0.27734278297498205
closed_reference,closed_reference,sample106,
open_reference,open_reference,sample106,
closed_reference,open_reference,sample107,0.25404075910873924
open_reference,closed_reference,sample107,0.25404075910873924
closed_reference,closed_reference,sample107,
open_reference,open_reference,sample107,
closed_reference,open_reference,sample108,0.3069529660560104
open_reference,closed_reference,sample108,0.3069529660560104
closed_reference,closed_reference,sample108,
open_reference,open_reference,sample108,
closed_reference,open_reference,sample109,0.2554514050997087
open_reference,closed_reference,sample109,0.2554514050997087
closed_reference,closed_reference,sample109,
open_reference,open_reference,sample109,
closed_reference,open_reference,sample110,0.1052561767065047
open_reference,closed_reference,sample110,0.1052561767065047
closed_reference,closed_reference,sample110,
open_reference,open_reference,sample110,
closed_reference,open_reference,sample111,0.2910523611268489
open_reference,closed_reference,sample111,0.2910523611268489
closed_reference,closed_reference,sample111,
open_reference,open_reference,sample111,
closed_reference,open_reference,sample112,0.2339083479630576
open_reference,closed_reference,sample112,0.2339083479630576
closed_reference,closed_reference,sample112,
