OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
351,Methanobacteria,Methanobacteriaceae,Methanobrevibacter,Archaea,Methanobacteriales,Euryarchaeota,unknown,8.0,
352,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,8.0,
353,Bacilli,Paenibacillaceae,Brevibacillus,Bacteria,Bacillales,Firmicutes,unknown,7.0,
354,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
355,Bacteroidia,Porphyromonadaceae,Porphyromonas,Bacteria,Bacteroidales,Bacteroidetes,unknown,7.0,
356,Epsilonproteobacteria,Campylobacteraceae,Campylobacter,Bacteria,Campylobacterales,Proteobacteria,unknown,7.0,
357,Negativicutes,Selenomonadaceae,Selenomonas,Bacteria,Selenomonadales,Firmicutes,unknown,7.0,
358,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
359,Bacteroidia,Bacteroidaceae,Bacteroides,Bacteria,Bacteroidales,Bacteroidetes,unknown,7.0,
360,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
361,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
362,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
363,Bacteroidia,Porphyromonadaceae,Porphyromonas,Bacteria,Bacteroidales,Bacteroidetes,unknown,7.0,
364,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,7.0,
365,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Lactobacillales,Firmicutes,unknown,7.0,
366,Negativicutes,Veillonellaceae,Dialister,Bacteria,Veillonellales,Firmicutes,unknown,7.0,
367,Coriobacteriia,Eggerthellaceae,unknown,Bacteria,Eggerthellales,Actinobacteria,unknown,6.0,
368,Bacilli,Streptococcaceae,Streptococcus,Bacteria,Lactobacillales,Firmicutes,unknown,6.0,
369,Alphaproteobacteria,Rhizobiaceae,Rhizobium,Bacteria,Rhizobiales,Proteobacteria,unknown,6.0,
370,Clostridia,Hungateiclostridiaceae,Ruminiclostridium,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
371,Negativicutes,Veillonellaceae,Dialister,Bacteria,Veillonellales,Firmicutes,unknown,6.0,
372,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
373,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
374,Clostridia,Clostridiaceae,Clostridium,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
375,Tissierellia,Peptoniphilaceae,Anaerococcus,Bacteria,Tissierellales,Firmicutes,unknown,6.0,
376,Tissierellia,Peptoniphilaceae,Peptoniphilus,Bacteria,Tissierellales,Firmicutes,unknown,6.0,
377,Bacteroidia,unknown,unknown,Bacteria,Bacteroidales,Bacteroidetes,unknown,6.0,
378,Clostridia,Clostridiales Family XIII. Incertae Sedis,unknown,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
379,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
380,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,6.0,
381,Clostridia,Hungateiclostridiaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,5.0,
382,Clostridia,Lachnospiraceae,Blautia,Bacteria,Clostridiales,Firmicutes,unknown,5.0,
383,Clostridia,Lachnospiraceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,5.0,
384,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,5.0,
385,Bacilli,Bacillaceae,Domibacillus,Bacteria,Bacillales,Firmicutes,unknown,5.0,
386,Clostridia,unknown,unknown,Bacteria,Clostridiales,Firmicutes,unknown,5.0,
387,Clostridia,Proteinivoraceae,Anaerobranca,Bacteria,Clostridiales,Firmicutes,unknown,5.0,
388,Bacilli,Bacillaceae,Bacillus,Bacteria,Bacillales,Firmicutes,unknown,4.0,
389,Coriobacteriia,Eggerthellaceae,Eggerthella,Bacteria,Eggerthellales,Actinobacteria,unknown,4.0,
390,Alphaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,4.0,
391,Gammaproteobacteria,Xanthomonadaceae,Stenotrophomonas,Bacteria,Xanthomonadales,Proteobacteria,unknown,4.0,
392,Erysipelotrichia,Erysipelotrichaceae,unknown,Bacteria,Erysipelotrichales,Firmicutes,unknown,4.0,
393,Bacteroidia,Dysgonamonadaceae,Dysgonomonas,Bacteria,Bacteroidales,Bacteroidetes,unknown,4.0,
394,Actinobacteria,Actinomycetaceae,Actinomyces,Bacteria,Actinomycetales,Actinobacteria,unknown,4.0,
395,Clostridia,Ruminococcaceae,Ruminococcus,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
396,Clostridia,Ruminococcaceae,unknown,Bacteria,Clostridiales,Firmicutes,unknown,4.0,
397,Bacilli,Paenibacillaceae,Paenibacillus,Bacteria,Bacillales,Firmicutes,unknown,4.0,
