task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
147	32/7b0e44	8840	network_inference_workflow:cozine_workflow:cozine (25N_100S)	CACHED	0	2021-12-02 10:20:14.063	1m 46s	1m 42s	98.6%	276.3 MB	663.5 MB	19.8 MB	4.9 KB
181	e1/2211f2	22112	network_inference_workflow:flashweave_workflow:flashweave (50N_500S)	CACHED	0	2021-12-02 10:26:49.098	2m 35s	2m 34s	94.9%	1.4 GB	2.3 GB	178.1 MB	220.9 KB
171	7a/0f652d	6243	network_inference_workflow:cozine_workflow:cozine (10N_500S)	CACHED	0	2021-12-02 10:22:15.864	22.9s	18.5s	96.9%	283.3 MB	666.5 MB	19.8 MB	4.5 KB
96	45/ed463e	9252	network_inference_workflow:spieceasi_workflow:spieceasi (150N_200S)	CACHED	0	2021-12-02 10:19:18.530	1m 32s	1m 27s	99.2%	330.3 MB	587.9 MB	20 MB	55.5 KB
61	8d/4a4dd4	18152	network_inference_workflow:flashweave_workflow:flashweave (10N_200S)	CACHED	0	2021-12-02 10:15:54.978	2m 32s	2m 31s	98.5%	1.3 GB	2.3 GB	178 MB	39.4 KB
176	75/ed1426	2040	network_inference_workflow:flashweave_workflow:flashweave (10N_500S)	CACHED	0	2021-12-02 10:14:02.790	2m 39s	2m 37s	97.9%	1.5 GB	2.5 GB	178 MB	58.5 KB
69	b4/3efda3	2075	network_inference_workflow:spieceasi_workflow:spieceasi (10N_200S)	CACHED	0	2021-12-02 10:14:02.823	48.8s	44.7s	98.6%	229.9 MB	488.1 MB	19.9 MB	3.1 KB
166	46/0f61a8	1471	network_inference_workflow:spring_workflow:spring (100N_200S)	CACHED	0	2021-12-02 10:15:22.630	2m 34s	2m 29s	98.9%	323.5 MB	656.2 MB	24.4 MB	39.1 KB
86	70/d13232	25754	network_inference_workflow:spring_workflow:spring (25N_50S)	CACHED	0	2021-12-02 10:15:03.730	35.7s	32s	97.9%	246.4 MB	577.7 MB	24.2 MB	10 KB
125	bb/86601c	12803	network_inference_workflow:cozine_workflow:cozine (150N_500S)	CACHED	0	2021-12-02 10:14:14.960	40m 43s	40m 37s	73.3%	413.8 MB	798.9 MB	20.1 MB	58.9 KB
53	ce/83dd80	31030	network_inference_workflow:spieceasi_workflow:spieceasi (100N_500S)	CACHED	0	2021-12-02 10:16:24.608	1m 1s	56.4s	99.0%	265.8 MB	522.2 MB	20.1 MB	29.4 KB
230	8e/af3c58	30850	network_inference_workflow:spring_workflow:spring (200N_100S)	CACHED	0	2021-12-02 10:15:07.406	7m 31s	7m 26s	98.9%	425.6 MB	754.4 MB	24.4 MB	111.9 KB
190	a0/7cb988	9144	network_inference_workflow:cozine_workflow:cozine (10N_50S)	CACHED	0	2021-12-02 10:16:48.625	25.6s	21.7s	98.3%	266.8 MB	654 MB	19.8 MB	4.6 KB
122	c5/cbced4	5455	network_inference_workflow:spring_workflow:spring (150N_500S)	CACHED	0	2021-12-02 10:23:52.592	6m 50s	6m 46s	97.3%	389.6 MB	722.2 MB	24.6 MB	76.3 KB
138	37/8e8ad3	367	network_inference_workflow:harmonies_workflow:harmonies (50N_100S)	CACHED	0	2021-12-02 10:21:00.430	7m 39s	7m 35s	98.9%	242.8 MB	438.9 MB	28.1 MB	8.8 KB
162	62/4a123f	21614	network_inference_workflow:cozine_workflow:cozine (150N_50S)	CACHED	0	2021-12-02 10:24:44.540	11m 50s	11m 46s	82.6%	299.8 MB	686.9 MB	19.8 MB	57.2 KB
1	ee/c56162	13623	network_inference_workflow:spieceasi_workflow:spieceasi (200N_50S)	CACHED	0	2021-12-02 10:14:44.763	1m 43s	1m 40s	98.2%	327.7 MB	586.1 MB	19.9 MB	91.7 KB
22	5f/2599e0	6969	network_inference_workflow:flashweave_workflow:flashweave (150N_100S)	CACHED	0	2021-12-02 10:22:17.123	2m 27s	2m 27s	98.4%	1.3 GB	2.3 GB	178.3 MB	372.6 KB
