task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	64/330dfa	26917	sequence_processing_paired_workflow:demultiplexing_paired_workflow:import_sequences_paired (emp-run1)	COMPLETED	0	2023-03-02 13:18:28.543	4m 25s	4m 15s	85.8%	187.3 MB	523 MB	15.6 GB	7.8 GB
2	1a/075afd	31102	sequence_processing_paired_workflow:demultiplexing_paired_workflow:demultiplexing_illumina_paired (emp-run1)	COMPLETED	0	2023-03-02 13:22:53.939	1h 7m 44s	1h 7m 40s	99.7%	391.3 MB	726.2 MB	13.2 GB	9.5 GB
3	e0/26a3d3	16118	sequence_processing_paired_workflow:demultiplexing_paired_workflow:export_sequences (emp-run1)	COMPLETED	0	2023-03-02 14:30:38.146	22.4s	18.1s	60.9%	185.9 MB	522.2 MB	2.9 GB	2.8 GB
4	09/3f84b8	17598	sequence_processing_paired_workflow:trimming_paired_workflow:import_sequences_paired (emp-run1)	COMPLETED	0	2023-03-02 14:31:00.670	1m 5s	1m 1s	96.6%	188 MB	523.4 MB	4.2 GB	1.8 GB
5	c0/35630c	19974	sequence_processing_paired_workflow:trimming_paired_workflow:export_visualization_paired (emp-run1)	COMPLETED	0	2023-03-02 14:32:05.897	1m 11s	1m 7s	97.6%	287.5 MB	640.5 MB	1.8 GB	610.1 MB
6	37/5c53c3	21424	sequence_processing_paired_workflow:trimming_paired_workflow:quality_analysis_paired (emp-run1)	COMPLETED	0	2023-03-02 14:33:16.968	6.8s	3.3s	7.3%	18.1 MB	138.2 MB	4 MB	1.4 KB
7	df/6404f2	22312	sequence_processing_paired_workflow:trimming_paired_workflow:trimming_paired (emp-run1)	COMPLETED	0	2023-03-02 14:33:23.798	1m 59s	1m 55s	665.6%	7.5 GB	10.7 GB	654.8 MB	594.9 MB
9	8d/3f588a	28389	denoise_cluster_workflow:de_novo_workflow:join_reads (emp-run1)	COMPLETED	0	2023-03-02 14:35:23.076	4m 57s	4m 52s	94.5%	192.5 MB	669.4 MB	8.9 GB	5.8 GB
8	19/75f7f7	28402	denoise_cluster_workflow:closed_reference_workflow:join_reads (emp-run1)	COMPLETED	0	2023-03-02 14:35:23.103	4m 57s	4m 52s	94.2%	192.5 MB	669.4 MB	8.9 GB	5.8 GB
10	aa/9af94c	28386	denoise_cluster_workflow:open_reference_workflow:join_reads (emp-run1)	COMPLETED	0	2023-03-02 14:35:23.056	4m 57s	4m 52s	93.8%	192.5 MB	669.4 MB	8.9 GB	5.8 GB
14	39/989f27	24322	denoise_cluster_workflow:closed_reference_workflow:fastq2fasta (emp-run1)	COMPLETED	0	2023-03-02 14:40:20.145	31.4s	25.3s	86.6%	9.4 MB	134.9 MB	1.6 GB	2.4 GB
15	61/dd1f99	24329	denoise_cluster_workflow:open_reference_workflow:fastq2fasta (emp-run1)	COMPLETED	0	2023-03-02 14:40:20.748	31.8s	26.2s	85.0%	9.4 MB	134.9 MB	1.6 GB	2.4 GB
13	56/09d320	24314	denoise_cluster_workflow:de_novo_workflow:fastq2fasta (emp-run1)	COMPLETED	0	2023-03-02 14:40:20.026	32.5s	26.4s	85.3%	9.4 MB	134.9 MB	1.6 GB	2.4 GB
18	35/d8a2ca	30388	denoise_cluster_workflow:de_novo_workflow:de_novo (emp-run1)	COMPLETED	0	2023-03-02 14:40:52.618	48m 34s	48m 31s	98.4%	2 GB	2.3 GB	9.3 GB	4.6 GB
19	11/cfc4a6	10113	denoise_cluster_workflow:de_novo_workflow:hash_otutables (emp)	COMPLETED	0	2023-03-02 15:29:26.874	10.3s	6.2s	84.3%	483.5 MB	689.4 MB	57.4 MB	38.4 MB
21	3b/33f5e6	11230	denoise_cluster_workflow:uchime_workflow:import_files (emp)	COMPLETED	0	2023-03-02 15:29:37.275	17.5s	14s	96.1%	209.8 MB	545.6 MB	265.6 MB	49.2 MB
20	56/98189a	11229	denoise_cluster_workflow:remove_bimera_workflow:create_seqtable (emp)	COMPLETED	0	2023-03-02 15:29:37.268	25.6s	22.3s	40.5%	302.5 MB	772 MB	55.9 MB	77.3 MB
22	18/a64088	13883	denoise_cluster_workflow:uchime_workflow:uchime (emp)	COMPLETED	0	2023-03-02 15:29:54.845	6m 2s	5m 58s	98.8%	358.8 MB	860 MB	622.4 MB	383.3 MB
12	6a/26e0c6	28415	denoise_cluster_workflow:deblur_workflow:deblur (emp-run1)	COMPLETED	0	2023-03-02 14:35:23.147	1h 38s	1h 33s	98.7%	912.5 MB	1.4 GB	7.6 GB	3.3 GB
25	f7/da53c2	29127	denoise_cluster_workflow:deblur_workflow:hash_otutables (emp)	COMPLETED	0	2023-03-02 15:36:01.416	5.2s	1.7s	91.9%	92.7 MB	300 MB	21.2 MB	4 MB
24	a2/0f5f20	28257	denoise_cluster_workflow:uchime_workflow:export_files (emp)	COMPLETED	0	2023-03-02 15:35:56.751	13.8s	9.9s	94.6%	186 MB	522.1 MB	119.3 MB	87.2 MB
26	5c/2cde17	30419	denoise_cluster_workflow:remove_bimera_workflow:create_seqtable (emp)	COMPLETED	0	2023-03-02 15:36:06.599	6.3s	2.9s	77.8%	137.1 MB	606.6 MB	21.5 MB	9.1 MB
27	4c/be0051	30420	denoise_cluster_workflow:uchime_workflow:import_files (emp)	COMPLETED	0	2023-03-02 15:36:06.606	14.2s	10.7s	94.2%	184.8 MB	521.8 MB	99 MB	5.7 MB
28	c0/855dbf	32301	tax_assignment_workflow:blast_workflow:import_reads (emp)	COMPLETED	0	2023-03-02 15:36:10.581	11.5s	7.7s	96.3%	199.3 MB	535.1 MB	139.4 MB	24.3 MB
32	75/b02610	4919	denoise_cluster_workflow:uchime_workflow:uchime (emp)	COMPLETED	0	2023-03-02 15:36:20.864	48.6s	44.9s	81.6%	218 MB	719.3 MB	175.4 MB	40.2 MB
34	c3/532b56	11829	denoise_cluster_workflow:uchime_workflow:export_files (emp)	COMPLETED	0	2023-03-02 15:37:09.530	24.2s	18.9s	58.0%	153.6 MB	481.3 MB	85.4 MB	10.5 MB
35	04/1731b7	15467	tax_assignment_workflow:blast_workflow:import_reads (emp)	COMPLETED	0	2023-03-02 15:37:33.804	10.2s	5.8s	94.1%	188 MB	524.3 MB	51.5 MB	2.8 MB
31	a3/8138db	1915	denoise_cluster_workflow:remove_bimera_workflow:remove_bimera (emp)	COMPLETED	0	2023-03-02 15:36:12.893	2m 45s	2m 41s	95.5%	750.7 MB	1.4 GB	72.3 MB	10.6 MB
39	92/707ce8	30229	denoise_cluster_workflow:remove_bimera_workflow:hash_seqtables (emp)	COMPLETED	0	2023-03-02 15:38:57.554	17.9s	3s	56.4%	147.8 MB	616.8 MB	22.6 MB	3.7 MB
42	d6/7a2650	1046	tax_assignment_workflow:blast_workflow:import_reads (emp)	COMPLETED	0	2023-03-02 15:39:15.448	25.9s	10.9s	51.4%	188.5 MB	524.8 MB	54.6 MB	3.5 MB
38	d3/24b48a	19567	tax_assignment_workflow:blast_workflow:blast (emp:ncbi)	COMPLETED	0	2023-03-02 15:37:44.016	2m 30s	2m 25s	90.9%	636 MB	1 GB	277.2 MB	181.9 MB
36	25/17f925	15464	tax_assignment_workflow:naive_bayes_workflow:naive_bayes (emp:gg_13_8_99)	COMPLETED	0	2023-03-02 15:37:33.799	3m 6s	3m 1s	288.9%	4.8 GB	9.1 GB	1.7 GB	2 GB
44	0a/f2afbc	13775	tax_assignment_workflow:blast_workflow:add_md2biom (emp)	COMPLETED	0	2023-03-02 15:40:14.515	32s	10.8s	66.0%	119.1 MB	318.4 MB	17.8 MB	3.2 MB
45	21/590710	18761	tax_assignment_workflow:naive_bayes_workflow:add_md2biom (emp)	COMPLETED	0	2023-03-02 15:40:39.839	31.8s	10.8s	61.8%	111.3 MB	311.5 MB	17.9 MB	3.1 MB
46	22/8affe4	19984	otu_processing_workflow:fork (emp)	COMPLETED	0	2023-03-02 15:40:46.718	25.1s	23.8s	17.4%	94.2 MB	389.6 MB	25.1 MB	3.2 MB
47	d9/d041af	24919	otu_processing_workflow:fork (emp)	COMPLETED	0	2023-03-02 15:41:11.609	6.7s	5.8s	53.5%	157 MB	450.2 MB	24.9 MB	3 MB
49	f5/e1f95c	24965	otu_processing_workflow:normalize_filter (emp:off)	COMPLETED	0	2023-03-02 15:41:11.937	8.6s	7.8s	53.3%	153.7 MB	446.8 MB	25.1 MB	565.4 KB
48	5f/7af48b	24967	otu_processing_workflow:normalize_filter (emp:on)	COMPLETED	0	2023-03-02 15:41:11.943	9.8s	8.9s	50.1%	153.7 MB	446.8 MB	25.1 MB	216.5 KB
