task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1316	c9/d10a95	1346	otu_processing_workflow:biom2tsv (fmt-autism)	CACHED	0	2022-03-31 08:03:06.878	3.9s	2.7s	42.3%	73.8 MB	305.7 MB	20.3 MB	62.4 KB
1337	01/0dee29	30781	network_inference_workflow:flashweave_workflow:export_gml (fmt-control)	CACHED	0	2022-03-31 01:22:06.633	6.7s	3.1s	24.4%	45.3 MB	247.5 MB	11.2 MB	167.1 KB
1315	25/bf6324	31999	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 01:41:38.854	13.7s	12.5s	23.3%	108.7 MB	408.4 MB	70.6 MB	367.5 KB
1347	44/50baa9	20425	network_inference_workflow:flashweave_workflow:export_gml (fmt-autism)	CACHED	0	2022-03-31 04:22:01.526	7.5s	3.3s	23.3%	46.2 MB	248.8 MB	11.2 MB	251.8 KB
1294	7e/dfbe2c	2592	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 09:52:22.930	6.1s	5.2s	38.4%	103 MB	401.1 MB	49.9 MB	185.4 KB
1300	dd/c59e0d	9684	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 09:23:29.383	4.7s	4s	40.6%	99.8 MB	394.8 MB	28.9 MB	59.6 KB
1268	a4/b2c062	20015	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 12:40:42.207	4.9s	3.9s	39.9%	100.3 MB	396 MB	34.1 MB	184.8 KB
1303	3c/c52535	9195	network_inference_workflow:flashweave_workflow:export_gml (fmt-autism)	CACHED	0	2022-03-31 04:28:42.554	7.3s	3s	22.2%	46.5 MB	248.9 MB	11.1 MB	92.5 KB
1263	5f/236634	15079	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 13:10:21.769	5.2s	4.4s	37.9%	100.8 MB	396.3 MB	34.8 MB	120.9 KB
1289	63/8d1d29	13776	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 13:12:46.319	5.6s	4.8s	40.4%	101.7 MB	397.3 MB	34.8 MB	161.6 KB
1276	d8/0aaf8f	1704	network_inference_workflow:flashweave_workflow:export_gml (fmt-control)	CACHED	0	2022-03-29 07:54:45.075	4.2s	1.5s	44.9%	10.1 MB	127.5 MB	11.1 MB	32.4 KB
1292	56/b1cbbb	28980	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 09:49:49.624	5.3s	4.4s	36.9%	99.9 MB	394.8 MB	31.4 MB	104.6 KB
1286	e3/969197	35431	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 13:36:13.518	11.2s	9.8s	28.4%	106.2 MB	408.4 MB	70.3 MB	343.4 KB
1273	1f/38955b	15092	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 12:40:21.655	6.6s	5.4s	39.0%	102.1 MB	401.1 MB	44.6 MB	302.2 KB
1269	67/0b6ae4	17455	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 01:56:28.787	18.7s	17.7s	20.9%	109 MB	408.4 MB	70.7 MB	833.7 KB
1264	34/bdde34	33106	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 23:00:35.216	5.2s	4.3s	37.3%	100.1 MB	395 MB	30.9 MB	107.7 KB
1267	b4/34cbfc	27754	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-31 00:02:01.124	6.3s	5.3s	32.7%	100.3 MB	396 MB	33.7 MB	172.3 KB
1297	2e/a9be4a	15115	network_inference_workflow:make_network_without_pvalue (fmt-control)	CACHED	0	2022-03-29 09:51:08.687	6.2s	5.2s	31.1%	100.2 MB	395.8 MB	31.4 MB	132.3 KB
1262	29/9a3118	5871	network_inference_workflow:make_network_without_pvalue (fmt-autism)	CACHED	0	2022-03-31 01:51:28.965	7.3s	6.3s	25.8%	100.7 MB	396.3 MB	34.5 MB	128 KB
1327	9f/9fdc0f	23895	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-29 16:11:47.503	3.9s	3.1s	43.1%	102.5 MB	396.5 MB	20.5 MB	132 KB
1363	2d/e678fb	3953	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-31 05:31:58.331	6.2s	5.2s	25.8%	102.8 MB	396.8 MB	20.6 MB	216.3 KB
1331	2c/41adcb	4202	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-31 08:03:13.764	4s	3.2s	38.7%	102.4 MB	396.4 MB	20.4 MB	109.4 KB
1376	df/e37193	11603	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-30 09:30:09.851	3.8s	3.1s	39.2%	102.4 MB	396.4 MB	20.4 MB	108.4 KB
1323	80/0e27fb	1840	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-31 05:31:53.195	6.7s	4.3s	28.2%	94.9 MB	390.2 MB	20.4 MB	73 KB
1314	70/25541e	20906	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-29 16:11:39.939	8.2s	7.5s	20.4%	101.8 MB	395.4 MB	20.4 MB	102.6 KB
1328	2d/6eeee1	928	otu_processing_workflow:biom2tsv (fmt-autism)	CACHED	0	2022-03-31 08:03:06.031	3.9s	2.8s	42.3%	70.3 MB	300.2 MB	20.3 MB	62 KB
1310	51/533e32	24704	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-29 16:11:49.530	4.1s	3.3s	41.6%	101.9 MB	396.2 MB	20.3 MB	69.6 KB
1330	11/5123e6	6117	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-31 08:03:17.773	3.4s	2.6s	42.8%	77.6 MB	322.4 MB	20.4 MB	78.7 KB
1329	ed/a64cae	2475	otu_processing_workflow:biom2tsv (fmt-autism)	CACHED	0	2022-03-31 08:03:09.908	3.9s	2.8s	41.4%	70.3 MB	300.2 MB	20.3 MB	43.3 KB
1380	11/506bea	25407	otu_processing_workflow:biom2tsv (fmt-autism)	CACHED	0	2022-03-29 16:11:51.418	4s	3.2s	42.0%	102 MB	396.3 MB	20.4 MB	74.5 KB
1317	91/75479b	4627	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-31 05:31:59.979	5.8s	4.7s	26.8%	90.7 MB	386.2 MB	20.4 MB	121.3 KB
1320	d6/ae1ff7	3866	otu_processing_workflow:biom2tsv (fmt-control)	CACHED	0	2022-03-31 05:31:58.107	5.9s	4.7s	27.3%	91.7 MB	387.1 MB	20.4 MB	114 KB
1345	42/7b6a63	13755	network_inference_workflow:flashweave_workflow:export_gml (fmt-control)	CACHED	0	2022-03-31 01:34:06.965	5.6s	2.3s	29.5%	52.8 MB	258.6 MB	11.1 MB	90.8 KB
1365	f3/af563a	23860	network_inference_workflow:spring_workflow:spring (fmt-autism)	CACHED	0	2022-03-29 18:53:47.191	8m 39s	8m 26s	80.8%	335.2 MB	667.9 MB	24.4 MB	67.9 KB
