task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
241	cb/d33995	36615	network_inference_workflow:make_network_without_pvalue (block_zinegbin)	CACHED	0	2021-12-02 20:10:34.381	2.7s	2.5s	54.6%	96.8 MB	424.9 MB	34.2 MB	46.8 KB
240	9d/c9f12e	21223	network_inference_workflow:make_network_without_pvalue (block_negbin)	CACHED	0	2021-12-02 20:38:24.457	2.7s	2.5s	56.0%	96.9 MB	424.9 MB	34.2 MB	57.1 KB
238	df/c2b105	24343	network_inference_workflow:make_network_without_pvalue (hub_zinegbin)	CACHED	0	2021-12-02 18:50:23.715	5s	4s	35.5%	96.8 MB	424.6 MB	34.2 MB	51.1 KB
235	b3/2b8156	34391	network_inference_workflow:make_network_without_pvalue (band_negbin)	CACHED	0	2021-12-02 18:50:55.478	5.1s	4.4s	36.6%	96.7 MB	424.9 MB	34.2 MB	59.8 KB
242	36/ef4f85	20036	network_inference_workflow:make_network_without_pvalue (scale_free_pois)	CACHED	0	2021-12-02 18:50:11.506	6s	4.9s	32.3%	97.8 MB	425.9 MB	34.2 MB	77.9 KB
236	66/06bdbc	27725	network_inference_workflow:make_network_without_pvalue (erdos_renyi_negbin)	CACHED	0	2021-12-02 18:50:34.132	6.3s	5.3s	28.1%	96.9 MB	424.9 MB	34.2 MB	62.7 KB
237	80/b1f4e3	8219	network_inference_workflow:make_network_without_pvalue (hub_pois)	CACHED	0	2021-12-02 18:19:05.027	6.8s	5.8s	31.2%	96.6 MB	424.9 MB	34.2 MB	68 KB
239	61/ae7ad0	17672	network_inference_workflow:make_network_without_pvalue (hub_negbin)	CACHED	0	2021-12-02 20:33:07.613	2.5s	2.3s	56.2%	96.9 MB	424.9 MB	34.2 MB	55.7 KB
264	04/8474a3	35797	network_inference_workflow:make_network_without_pvalue (cluster_zinegbin)	CACHED	0	2021-12-02 18:47:18.254	5.5s	4.8s	32.7%	97.4 MB	425.4 MB	34.2 MB	57.9 KB
268	63/b71d60	29822	network_inference_workflow:make_network_without_pvalue (scale_free_negbin)	CACHED	0	2021-12-02 18:50:40.483	10.4s	8.4s	18.4%	96.8 MB	424.6 MB	34.2 MB	45.1 KB
267	29/d6ee7d	21708	network_inference_workflow:make_network_without_pvalue (cluster_negbin)	CACHED	0	2021-12-02 20:39:05.475	2.4s	2.2s	60.7%	97.5 MB	425.4 MB	34.2 MB	64.6 KB
261	a5/d64aa7	24843	network_inference_workflow:make_network_without_pvalue (scale_free_pois)	CACHED	0	2021-12-02 18:42:46.834	6.4s	5.4s	33.5%	96.6 MB	424.6 MB	34.2 MB	43.7 KB
260	0c/8682a3	19830	network_inference_workflow:make_network_without_pvalue (cluster_negbin)	CACHED	0	2021-12-02 18:53:25.761	5.5s	4.7s	32.7%	97.1 MB	425.1 MB	34.2 MB	55.4 KB
259	1c/e5b4c6	11414	network_inference_workflow:make_network_without_pvalue (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 18:47:55.483	5.2s	4.2s	35.6%	96.8 MB	424.9 MB	34.2 MB	52.2 KB
258	a0/c63027	29028	network_inference_workflow:make_network_without_pvalue (band_zinegbin)	CACHED	0	2021-12-02 18:50:38.084	9.4s	6.2s	25.8%	97.4 MB	425.4 MB	34.2 MB	58.4 KB
266	69/e73aa7	19078	network_inference_workflow:make_network_without_pvalue (band_zinegbin)	CACHED	0	2021-12-02 18:12:30.431	5.8s	4.9s	34.2%	97.3 MB	425.4 MB	34.2 MB	63.6 KB
265	b8/6e55f5	30826	network_inference_workflow:make_network_without_pvalue (scale_free_pois)	CACHED	0	2021-12-02 21:02:48.292	2.6s	2.4s	53.6%	96.9 MB	424.9 MB	34.2 MB	54.8 KB
269	34/2eccb5	1091	network_inference_workflow:make_network_without_pvalue (band_pois)	CACHED	0	2021-12-02 18:47:23.780	5.9s	5s	31.0%	97.2 MB	425.4 MB	34.2 MB	63.6 KB
270	ac/8f16af	34527	network_inference_workflow:make_network_without_pvalue (cluster_negbin)	CACHED	0	2021-12-02 18:47:13.153	7.2s	4.5s	35.1%	97.5 MB	425.4 MB	34.2 MB	61.5 KB
271	43/26741d	18815	network_inference_workflow:make_network_without_pvalue (hub_negbin)	CACHED	0	2021-12-02 18:55:59.101	8.2s	7.4s	20.0%	97.9 MB	430.1 MB	34.2 MB	49 KB
272	2f/dfdedc	16736	network_inference_workflow:make_network_without_pvalue (block_zinegbin)	CACHED	0	2021-12-02 18:55:54.666	5.9s	5s	28.3%	96.9 MB	430.1 MB	34.2 MB	47.5 KB
273	e3/16376d	19816	network_inference_workflow:make_network_without_pvalue (block_negbin)	CACHED	0	2021-12-02 18:56:00.569	7.7s	6.8s	22.6%	96.9 MB	430.1 MB	34.2 MB	53 KB
274	82/f7748d	4163	network_inference_workflow:make_network_without_pvalue (hub_zinegbin)	CACHED	0	2021-12-02 18:57:56.613	8.1s	7.2s	21.2%	97.3 MB	430.1 MB	34.2 MB	52.2 KB
277	8a/1736fa	23157	network_inference_workflow:make_network_without_pvalue (band_pois)	CACHED	0	2021-12-02 18:56:07.345	6.5s	5.4s	28.4%	97 MB	430.1 MB	34.2 MB	59.4 KB
276	2d/0660e2	3294	network_inference_workflow:make_network_without_pvalue (erdos_renyi_pois)	CACHED	0	2021-12-02 18:57:54.895	7.9s	7s	22.2%	98.1 MB	430.1 MB	34.2 MB	58.8 KB
278	0c/7be6ea	23595	network_inference_workflow:make_network_without_pvalue (erdos_renyi_negbin)	CACHED	0	2021-12-02 18:56:08.319	6.7s	5.8s	26.9%	97.4 MB	430.1 MB	34.2 MB	57.3 KB
275	94/63766d	7382	network_inference_workflow:make_network_without_pvalue (band_zinegbin)	CACHED	0	2021-12-02 18:58:02.842	7.5s	6.7s	22.9%	97.9 MB	430.1 MB	34.2 MB	58.5 KB
281	d3/533557	20801	network_inference_workflow:make_network_without_pvalue (cluster_pois)	CACHED	0	2021-12-02 18:58:30.368	6.6s	5.7s	27.1%	97.5 MB	430.1 MB	34.2 MB	58.6 KB
282	e3/8c2241	23897	network_inference_workflow:make_network_without_pvalue (band_negbin)	CACHED	0	2021-12-02 18:58:36.361	7.2s	6.3s	24.8%	97 MB	430.1 MB	34.2 MB	58.3 KB
279	07/789235	27426	network_inference_workflow:make_network_without_pvalue (cluster_zinegbin)	CACHED	0	2021-12-02 18:58:43.602	8.8s	7.8s	20.8%	97.9 MB	430.1 MB	34.2 MB	56.8 KB
280	ad/883acf	27675	network_inference_workflow:make_network_without_pvalue (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 18:58:44.162	8.2s	7.3s	21.3%	97.3 MB	430.1 MB	34.2 MB	53.2 KB
285	cb/d46361	33986	network_inference_workflow:make_network_without_pvalue (scale_free_pois)	CACHED	0	2021-12-02 18:58:58.448	6.8s	5.9s	24.6%	97.2 MB	430.1 MB	34.2 MB	50.6 KB
283	5d/df9ae0	14537	network_inference_workflow:make_network_without_pvalue (scale_free_negbin)	CACHED	0	2021-12-02 18:55:50.028	8.1s	7.3s	22.7%	96.9 MB	430.1 MB	34.2 MB	46.7 KB
286	da/0a5708	19364	network_inference_workflow:make_network_without_pvalue (cluster_negbin)	CACHED	0	2021-12-02 18:58:27.626	6.7s	5.8s	25.6%	97.9 MB	430.1 MB	34.2 MB	56.1 KB
284	eb/cb1546	15041	network_inference_workflow:make_network_without_pvalue (block_pois)	CACHED	0	2021-12-02 18:58:18.264	6.4s	5.6s	26.4%	98 MB	430.1 MB	34.2 MB	54 KB
287	2d/79a438	34019	network_inference_workflow:make_network_without_pvalue (scale_free_zinegbin)	CACHED	0	2021-12-02 18:57:42.483	7.7s	6.6s	23.6%	96.8 MB	430.1 MB	34.2 MB	44.8 KB
288	44/d0f7ce	28484	network_inference_workflow:make_network_without_pvalue (hub_pois)	CACHED	0	2021-12-02 18:58:45.423	7.9s	6.8s	22.4%	97 MB	430.1 MB	34.2 MB	58.4 KB
157	bd/7bc730	30897	network_inference_workflow:sparcc_workflow:resample (scale_free_zinegbin)	CACHED	0	2021-12-02 17:31:12.418	24.7s	23.7s	70.0%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
144	2f/e00ebc	16845	network_inference_workflow:propr_workflow:resample (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 17:31:50.016	24.7s	23.9s	69.1%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
13	31/4c683b	15202	network_inference_workflow:spearman_workflow:resample (scale_free_negbin)	CACHED	0	2021-12-02 17:29:50.460	21.7s	20.9s	74.0%	7.5 MB	299.6 MB	3.6 MB	267.1 MB
37	7b/ba4998	1715	network_inference_workflow:propr_workflow:resample (erdos_renyi_negbin)	CACHED	0	2021-12-02 17:33:41.102	23.1s	22.2s	69.2%	7.5 MB	299.6 MB	3.6 MB	267 MB
160	30/244ac4	1908	network_inference_workflow:spearman_workflow:resample (scale_free_zinegbin)	CACHED	0	2021-12-02 17:29:06.950	23.4s	21.8s	76.1%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
5	76/8a9446	11435	network_inference_workflow:spearman_workflow:resample (cluster_zinegbin)	CACHED	0	2021-12-02 17:37:33.173	33.1s	32.2s	50.8%	7.5 MB	299.6 MB	3.6 MB	275.5 MB
39	eb/354307	2138	network_inference_workflow:sparcc_workflow:resample (erdos_renyi_negbin)	CACHED	0	2021-12-02 17:29:07.213	21.7s	20.4s	76.4%	7.5 MB	299.6 MB	3.6 MB	267 MB
64	db/7a045f	1979	network_inference_workflow:spearman_workflow:resample (block_negbin)	CACHED	0	2021-12-02 17:29:07.031	21.8s	20.3s	76.4%	7.5 MB	299.6 MB	3.6 MB	267.1 MB
81	54/c2c7d8	29329	network_inference_workflow:propr_workflow:resample (band_pois)	CACHED	0	2021-12-02 17:33:23.881	23.8s	22.9s	73.0%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
2	d4/c811b7	33638	network_inference_workflow:sparcc_workflow:resample (cluster_zinegbin)	CACHED	0	2021-12-02 17:32:24.028	24.5s	23.2s	71.0%	7.5 MB	299.6 MB	3.6 MB	275.5 MB
6	03/0b6d53	18888	network_inference_workflow:propr_workflow:resample (cluster_zinegbin)	CACHED	0	2021-12-02 17:29:51.423	22s	21.2s	77.6%	7.5 MB	299.6 MB	3.6 MB	275.5 MB
129	60/375dcb	2107	network_inference_workflow:pearson_workflow:resample (band_negbin)	CACHED	0	2021-12-02 17:29:07.174	21.8s	20.5s	75.8%	7.5 MB	299.6 MB	3.6 MB	267.1 MB
146	ba/3c0878	2128	network_inference_workflow:spearman_workflow:resample (erdos_renyi_zinegbin)	CACHED	0	2021-12-02 17:29:07.203	23.1s	21.8s	76.1%	7.4 MB	299.6 MB	3.6 MB	275.4 MB
101	54/258973	14874	network_inference_workflow:propr_workflow:resample (hub_pois)	CACHED	0	2021-12-02 17:29:28.874	22.4s	21.5s	78.4%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
165	36/79a51b	29517	network_inference_workflow:sparcc_workflow:resample (hub_zinegbin)	CACHED	0	2021-12-02 17:30:00.184	23.4s	22.6s	73.0%	7.5 MB	299.6 MB	3.6 MB	275.4 MB
178	44/dbdc2b	14295	network_inference_workflow:propr_workflow:resample (block_pois)	CACHED	0	2021-12-02 17:30:23.600	26.3s	24.9s	68.1%	7.5 MB	299.6 MB	3.6 MB	278.4 MB
59	8c/ff383d	20314	network_inference_workflow:spearman_workflow:resample (cluster_negbin)	CACHED	0	2021-12-02 17:36:14.425	24.7s	23.7s	65.1%	7.5 MB	299.6 MB	3.6 MB	267.2 MB
136	e3/62dfec	30634	network_inference_workflow:pearson_workflow:resample (hub_negbin)	CACHED	0	2021-12-02 17:33:25.852	23.2s	22s	70.1%	7.5 MB	299.6 MB	3.6 MB	267.2 MB
53	80/be78aa	25785	network_inference_workflow:pearson_workflow:resample (cluster_negbin)	CACHED	0	2021-12-02 17:29:15.426	21.8s	21s	74.1%	7.5 MB	299.6 MB	3.6 MB	267.2 MB
42	67/8e6855	25421	network_inference_workflow:spearman_workflow:resample (scale_free_pois)	CACHED	0	2021-12-02 17:30:53.190	27.6s	26.7s	63.2%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
17	96/42afd7	2023	network_inference_workflow:spearman_workflow:resample (block_zinegbin)	CACHED	0	2021-12-02 17:29:07.085	23.2s	21.7s	76.2%	7.4 MB	299.6 MB	3.6 MB	275.4 MB
98	d3/7a468d	3519	network_inference_workflow:sparcc_workflow:resample (erdos_renyi_pois)	CACHED	0	2021-12-02 17:37:03.820	29.2s	28.2s	59.1%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
75	4f/0c562a	20732	network_inference_workflow:spearman_workflow:resample (cluster_pois)	CACHED	0	2021-12-02 17:29:30.530	23.2s	22.2s	75.9%	7.5 MB	299.6 MB	3.6 MB	278.5 MB
