Combination,pc1,pc2,DC,TA,OP
1,6.388482416058616,-0.36287624012148467,open_reference,NCBI,no
2,-3.6755549059967465,-3.9167721963912494,open_reference,GG,no
3,3.6103966042757585,-0.12091284462247395,closed_reference,NCBI,no
4,-2.1546221221610042,-1.7366011386376405,closed_reference,GG,no
5,7.016857498713084,-0.2032511969739462,de_novo,NCBI,no
6,-3.4214810907731024,-4.543434180921764,de_novo,GG,no
7,5.026715557218908,-0.3547278400268583,dada2,NCBI,no
8,-2.8590963315466706,-3.523882074105932,dada2,GG,no
9,4.685165746698871,-0.2895971927753465,deblur,NCBI,no
10,-2.5851139035464143,-2.9243742396799894,deblur,GG,no
11,-2.8739144332546345,4.880069440745148,open_reference,SILVA,no
12,-1.9107373163916013,3.8743949624434166,closed_reference,SILVA,no
13,-3.1406445589768963,5.997932120899867,de_novo,SILVA,no
14,-2.1002709405161393,3.242304080691439,dada2,SILVA,no
15,-1.851589880834075,2.7026382788673695,deblur,SILVA,no
16,3.9743322515177284,-0.23458811685508912,open_reference,NCBI,yes
17,-2.534065213144835,-2.9836743075409884,open_reference,GG,yes
18,2.724795890082241,-0.04341383261535321,closed_reference,NCBI,yes
19,-1.5618939307076203,-1.4631598034241984,closed_reference,GG,yes
20,3.9280391640840207,-0.09740266956788156,de_novo,NCBI,yes
21,-2.4104804640273856,-3.144469880385565,de_novo,GG,yes
22,3.309239631940483,-0.21732925294093752,dada2,NCBI,yes
23,-1.8774232541331157,-2.740652508314842,dada2,GG,yes
24,2.980226330487388,-0.1469962539152254,deblur,NCBI,yes
25,-1.608781245734488,-2.276475464781189,deblur,GG,yes
26,-1.7868640663832909,2.4750830696263115,open_reference,SILVA,yes
27,-1.2321415671166127,2.4708622507453684,closed_reference,SILVA,yes
28,-1.7131198424647625,2.5682912753658265,de_novo,SILVA,yes
29,-1.2857090836165566,1.7437569480731159,dada2,SILVA,yes
30,-1.0607469397511486,1.369258807140086,deblur,SILVA,yes
