,distance,step
7,6.696178747614194,filtering
16,6.554463166423319,denoiser
18,6.958306602902749,denoiser
20,6.740207869939917,denoiser
23,8.786133700325758,db
24,5.820528667569638,denoiser
29,8.419415916202263,db
