Feature ID	Taxon	Confidence
14e5b96d6212779ac743ec82dfda1f24	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7
f74c6f444a750f94921fa1b7e388f28e	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter	0.7
484cb0f953ccaafa5a0308ae49649e41	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.8
660a5448579f391d76aa3bfc0de7584a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
9f2f6d9fc27c09ad9675f8b3c56f7d1e	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	1.0
69e892163902c8285767f1dd6f7e84da	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.6
c5f3f2c2df993aa6d42e7a77918935df	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelatoclostridium	0.6
a2f1e91bbb1ff18cebdb69f590a3f775	k__Bacteria	1.0
9ee1405c38887cf7a0fc09323e7354a4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.6
3a8cde26979f03989e6a8daa6b6afe3f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8
aa41786357ff56660defe4a08906d1c3	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella	1.0
a313d1374ec6a076828e4499152e60e4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
d7ee879323d6b60d3dd6bbdf695c1052	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	1.0
7f354c00141a483460bb5bdbb4e0848e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Lysinibacillus	0.9
4f2ee2e9638f1c3740dccec35578b17c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium	1.0
070dae6e1b47f289426947640b641de8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7
03f49439e811873ca2f329b9a712b28a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
c9f740e73e66d9d448b62883bfcb2299	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae	0.9
97a30f3584beb50af871dc7a0c37cc5c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
e83593f04b2f619bf181a685dacf836f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	1.0
01867eee473f48ae10399995cb0ed4a6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.6
efb00403057bc7d4bd389578d4fd9b59	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter	0.7
9db98a36c908f12620a2dc32f71067e7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.8
